src_ip       , src_port, dst_ip       , dst_port, proto, service, duration  , src_bytes, dst_bytes, conn_state, missed_bytes, src_pkts, src_ip_bytes, dst_pkts, dst_ip_bytes, dns_query, dns_qclass, dns_qtype, dns_rcode, dns_AA, dns_RD, dns_RA, dns_rejected, ssl_version, ssl_cipher, ssl_resumed, ssl_established, ssl_subject, ssl_issuer, http_trans_depth, http_method, http_uri, http_version, http_request_body_len, http_response_body_len, http_status_code, http_user_agent, http_orig_mime_types, http_resp_mime_types, weird_name, weird_addl, weird_notice, label, type
192.168.1.37 ,     4444, 192.168.1.193,    49178, tcp  , -      , 290.371539,    101568,      2592, OTH       ,            0,      108,       108064,       31,         3832, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000102,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000148,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000113,         0,         0, REJ       ,            0,        1,           48,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.00013 ,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.008403,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000137,         0,         0, REJ       ,            0,        1,           48,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000143,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.0002  ,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000009,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
192.168.1.193,    49180, 192.168.1.37 ,     8080, tcp  , -      ,   0.000113,         0,         0, REJ       ,            0,        1,           52,        1,           40, -        ,          0,         0,         0, -     , -     , -     , -           , -          , -         , -          , -              , -          , -         , -               , -          , -       , -           ,                     0,                      0,                0, -              , -                   , -                   , -         , -         , -           ,     1, backdoor
